Genename	Control_1	Control_2	Control_3	T24_10	T24_5	T48_10	T48_5	T72_10	T72_5
NRP2	19.7938	15.7345	20.4368	66.6156	75.0727	49.7774	77.4162	81.6719	60.8807
NRROS	0.0285	0.0158	0.0362	0.0231	0.0211	0.0000	0.0000	0.0136	0.0093
NRSN1	0.0000	0.0000	0.0000	0.0000	0.0528	0.0371	0.0849	0.0000	0.0427
NRSN2	26.2081	31.4523	29.8144	28.4274	29.0239	25.2187	26.5493	32.2629	28.3027
NRSN2-AS1	10.7721	10.0102	11.4490	8.7910	7.5017	6.2146	4.5867	6.3133	7.5779
NRTN	3.3334	5.6636	4.5795	6.0810	4.2193	7.8877	5.4185	6.4854	5.4678
NRXN1	0.0503	0.0110	0.0289	0.0393	0.0277	0.0375	0.0245	0.0070	0.0243
NRXN2	0.0201	0.0538	0.0851	0.0163	0.0372	0.0109	0.0234	0.0287	0.0176
NRXN3	0.3419	0.1357	0.2027	0.0986	0.1269	0.0973	0.1530	0.1280	0.1089
NSA2	216.2908	207.3804	232.1693	203.2565	204.5177	184.1947	165.6985	174.5251	197.2445
NSD1	4.5883	3.1111	4.6385	3.8387	4.1219	2.3209	3.4686	4.1976	3.0029
NSDHL	21.9766	22.4672	23.5944	26.6837	27.9912	20.1511	25.0478	21.6420	23.3384
NSF	20.0406	14.2263	18.4050	15.1420	16.5544	10.2445	16.4359	15.9398	13.9134
NSFL1C	50.2525	46.4793	49.0535	46.9955	50.2176	43.0775	48.0125	44.7700	46.3893
NSFP1	6.8454	3.7701	12.0056	5.9647	11.7554	0.1896	2.6775	1.6536	0.0000
NSG1	1.6314	1.4816	1.5922	2.2163	2.0386	1.9953	1.9810	2.3335	1.8346
NSL1	11.1401	9.9881	11.7009	8.6276	9.2248	6.7764	10.2244	9.6093	7.6738
NSMAF	40.7710	31.9480	41.0937	34.2539	36.6248	23.1332	30.8253	32.0116	31.3676
NSMCE1	66.8822	64.4704	63.8782	84.1942	81.8840	101.4160	89.6474	93.6989	96.2836
NSMCE2	37.5225	33.7317	39.0912	41.4980	43.2016	37.6307	42.9694	40.6522	43.3151
NSMCE3	30.2559	26.8511	30.3577	34.6623	35.1080	30.8834	35.7354	35.0469	33.3125
NSMCE4A	31.9108	25.0382	29.8011	30.7041	30.1200	30.1420	39.7540	37.1882	32.1894
NSMF	34.5697	43.3403	44.0816	51.2396	50.2193	42.5264	41.5520	43.8469	44.1430
NSRP1	60.3253	43.4025	45.0843	47.0360	42.5194	42.5015	40.0971	39.5631	45.4730
NSUN2	244.5066	162.4242	206.0673	187.2157	194.0436	122.6144	177.6160	170.6107	159.7041
NSUN3	5.0441	4.2576	6.0172	4.8693	5.9349	4.0767	7.1533	5.5969	5.1682
NSUN4	7.7898	6.2233	7.4605	7.9389	7.7494	6.4468	7.4042	7.1320	7.4703
NSUN5	52.9143	69.7833	64.0116	69.6525	67.9076	76.0715	73.0697	76.0466	79.1685
NSUN5P1	4.1505	2.9751	3.0499	3.2649	3.2011	3.3730	4.1481	4.3894	3.0957
NSUN5P2	2.3507	1.3015	1.1181	1.5586	0.8172	2.0347	2.6968	1.9823	2.1231
NSUN6	12.6385	9.3206	11.7809	8.6064	9.9138	7.9310	8.3964	9.4444	8.7914
NSUN7	0.0000	0.0000	0.0081	0.0234	0.0142	0.0000	0.0056	0.0000	0.0125
NT5C	100.3844	112.1092	110.0219	101.1370	100.6213	157.4587	145.5551	150.6606	142.7481
NT5C1A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NT5C1B	0.0753	0.0000	0.0000	0.0219	0.0000	0.0335	0.0000	0.0234	0.0000
NT5C1B-RDH14	0.0000	0.0206	0.0926	0.0000	0.0273	0.0000	0.0000	0.0000	0.0496
NT5C2	34.1752	24.4603	32.7293	29.3376	31.7244	19.6054	26.1885	26.5455	26.8357
NT5C3A	37.8467	27.6036	37.4262	31.5723	30.1294	25.2721	28.4144	28.9203	33.7847
NT5C3B	88.2102	94.6494	95.0981	99.9343	103.3580	91.0360	92.2179	83.9545	98.0707
NT5DC1	9.8612	7.4537	9.7949	8.2290	8.3609	5.4396	8.7282	8.2957	7.3981
NT5DC2	70.3793	89.7428	87.5606	126.0766	131.3125	109.9709	153.8138	123.9657	112.0659
NT5DC3	1.7635	1.1843	1.7800	1.0189	1.0367	0.6723	1.0228	1.0877	0.8138
NT5E	0.4867	0.4128	0.5283	0.5641	0.5217	0.4200	0.7221	0.8739	0.6848
NT5M	8.1565	10.5889	10.8928	7.3553	7.3546	8.9903	7.4124	7.5784	8.6383
NTAN1	37.1006	34.1608	35.9572	28.4046	28.9849	27.0644	34.7351	30.2923	30.1512
NTF3	0.0000	0.0383	0.0879	0.0000	0.0000	0.0188	0.0000	0.0000	0.0000
NTF4	0.0838	0.2321	0.2129	1.9071	1.5497	2.3734	1.9048	2.5120	2.2990
NTHL1	58.5081	65.8176	68.6316	61.1006	52.7132	77.0793	82.0554	71.1222	67.6160
NTM	40.7715	28.9524	34.9059	36.9264	34.0810	28.3219	24.3999	27.6260	32.3403
NTM-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NTM-IT	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NTMT1	54.3676	70.5392	64.0838	60.9138	65.3300	71.7951	71.6539	67.1610	66.1847
NTN1	6.0456	5.4212	5.6477	5.1269	5.7173	5.1138	6.3584	7.1224	6.1939
NTN3	0.0000	0.0208	0.0318	0.0305	0.0000	0.0000	0.0328	0.0000	0.0613
NTN4	41.6826	35.9781	44.5411	24.6280	26.3556	22.6177	17.9183	29.1996	25.8373
NTN5	0.0392	0.0000	0.0332	0.0478	0.0000	0.0000	0.0343	0.0373	0.0000
NTNG1	2.6022	1.8072	2.1493	0.4409	0.4861	0.4022	0.6672	0.5674	0.4998
NTNG2	4.4274	4.7519	4.8391	3.2875	2.9408	2.3608	2.3914	2.3714	2.9451
NTPCR	94.1196	80.7286	88.8749	87.8550	89.1987	90.0627	90.9030	86.5292	95.1497
NTRK1	0.2826	0.5794	0.5984	1.2749	1.0242	1.5701	1.6719	1.5599	1.8368
NTRK2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NTRK3	0.0000	0.0106	0.0243	0.0000	0.0000	0.0067	0.0056	0.0000	0.0000
NTRK3-AS1	0.0000	0.0151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NTS	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NTSR1	0.0170	0.0283	0.0433	0.0623	0.0757	0.0975	0.0646	0.1135	0.0668
NTSR2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NUAK1	6.7017	4.6890	6.4301	21.0192	23.6568	13.5257	20.9677	21.5802	16.6976
NUAK2	11.3776	12.2388	15.8921	13.2025	15.9413	9.2455	8.4489	11.5468	9.2589
NUB1	78.1678	66.8145	76.0909	83.4500	80.9281	70.1142	70.4043	73.2891	78.7021
NUBP1	40.2153	41.1496	34.6633	33.5649	36.4375	27.8136	36.8809	32.3560	32.5203
NUBP2	149.3279	267.6852	226.9527	259.6962	248.5005	299.5131	239.5615	255.4665	296.9617
NUBPL	11.8021	8.8794	12.7096	10.1702	10.9553	7.2972	10.1393	10.5176	9.9631
NUCB1	128.9770	144.6020	128.2650	120.4460	130.7890	116.7350	147.6260	151.1680	131.1880
NUCB1-AS1	0.0000	0.0000	0.0000	0.1164	0.2121	0.0000	0.0000	0.0000	0.0000
NUCB2	31.5499	21.8433	25.9156	20.8041	19.2148	20.2076	24.5558	24.0197	23.2899
NUCKS1	60.6815	48.5463	58.0232	51.5045	53.6308	49.6316	76.7261	68.3367	57.8989
NUDC	321.1400	308.5990	298.4830	281.5120	281.8320	288.3380	315.5870	325.4790	287.9770
NUDCD1	25.7150	19.2238	26.0425	26.5908	27.0672	18.5484	28.5558	25.2535	25.9198
NUDCD2	102.2120	89.0603	98.7659	70.2378	76.5369	66.0554	92.2063	74.5713	78.5484
NUDCD3	47.4861	48.2336	49.6315	52.6459	52.9798	45.3669	48.2084	49.9569	49.7170
NUDT1	85.0712	84.5426	70.6410	64.6975	71.7492	89.1295	113.1431	99.5515	86.0135
NUDT10	0.0386	0.0000	0.0000	0.0000	0.0000	0.0210	0.0112	0.0000	0.0000
NUDT11	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NUDT12	9.1487	7.9308	11.3547	7.9728	8.3436	6.2514	7.7916	8.2646	8.4121
NUDT13	2.3814	1.7108	2.2629	1.9682	1.6792	1.5150	2.2662	2.5010	1.7429
NUDT14	66.6867	96.5740	81.1226	74.5220	64.0277	100.5340	73.1140	88.3055	83.9937
NUDT15	34.5136	26.1512	28.4308	24.4517	24.0821	24.6781	46.3450	38.9257	30.1375
NUDT16	15.5241	15.3181	17.1447	17.7122	15.8698	17.9314	22.7863	23.6674	18.2775
NUDT16L1	19.8316	20.5378	23.3901	27.3024	27.5825	35.8225	33.0027	32.5867	34.2452
NUDT16P1	1.3495	1.1469	1.2950	1.1791	0.9519	1.1133	1.1844	1.2147	1.3186
NUDT17	3.3068	2.7898	3.4369	2.5350	2.2794	1.6169	2.5407	2.4675	2.6755
NUDT18	10.1064	15.7007	13.3116	13.4569	13.3931	17.9109	19.1520	23.3679	20.3029
NUDT19	19.8251	19.4848	23.1635	21.7775	22.1421	18.8116	22.1966	23.5054	20.9981
NUDT2	45.6749	37.3354	35.6380	38.3328	36.9215	41.3967	37.5280	30.9891	38.5308
NUDT21	46.4706	33.8404	44.7792	41.0796	41.9241	30.0272	45.4713	42.4578	38.3532
NUDT22	72.6201	105.7816	99.9234	105.1352	98.2227	143.1893	107.9895	125.8064	129.7942
NUDT3	18.1763	19.2373	20.9545	20.6933	18.8591	15.6556	22.5059	25.4049	18.0159
NUDT4	6.0248	4.9388	6.7128	5.9393	6.3165	4.8430	5.6807	6.5474	5.6946
NUDT4P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NUDT4P2	31.2625	25.8656	33.3463	29.7678	32.0266	21.2592	28.5977	28.3774	26.6956
NUDT5	151.8780	121.6620	126.4240	94.3875	95.1025	95.5140	123.4350	117.0820	96.7752
NUDT6	10.9554	7.7952	7.6603	5.6047	5.9176	5.2960	7.1834	5.8075	6.0723
NUDT7	4.3221	2.4669	2.4108	1.9484	1.7291	1.7517	2.2431	1.5869	1.9128
NUDT8	48.1933	58.1142	52.3759	52.2147	47.7353	69.8373	87.7291	79.2904	62.1419
NUDT9	15.3175	11.6914	13.6721	13.2217	12.8689	10.8641	14.2166	12.6102	13.2305
NUDT9P1	0.5345	0.2538	0.7436	0.4654	0.7060	0.5406	0.6230	0.4360	0.6484
NUF2	18.1393	10.5213	14.4909	9.7152	11.9088	9.5970	32.7146	22.0257	15.9169
NUFIP1	14.3128	10.1213	13.4681	10.9374	10.9044	9.5337	11.7886	12.1850	10.8478
NUFIP2	10.0127	7.0690	10.5876	8.6515	10.2643	5.4750	8.0566	9.0630	7.5907
NUGGC	0.5593	0.3143	0.3248	0.5071	0.3877	0.3332	0.4376	0.4327	0.3998
NUMA1	19.1549	16.0017	16.5906	15.0743	16.0694	13.1524	18.6894	18.9837	14.8304
NUMB	37.6842	26.8098	33.5370	32.4448	34.9271	22.5463	32.5726	32.9509	29.3192
NUMBL	26.7228	31.3858	29.6536	36.6364	37.8778	26.0383	27.7510	27.8073	30.8128
NUP107	38.1369	25.2943	34.5395	34.0247	35.2556	26.3395	41.8187	35.3989	33.1836
NUP133	12.0367	9.5964	12.5813	12.8090	12.8315	8.1330	14.1594	12.9891	11.1765
NUP153	11.7799	9.6365	12.7141	12.6476	13.5259	7.0064	13.4836	12.9234	9.7191
NUP155	26.7847	19.2803	27.3258	24.2848	28.6193	15.4367	26.6525	25.9301	20.9837
NUP160	16.6416	14.1622	19.9684	19.8074	21.9479	13.3929	19.0294	18.6693	17.7277
NUP188	9.6116	9.4340	11.6677	9.7208	11.4952	6.2749	11.9332	11.7819	8.8442
NUP205	21.2297	17.6584	24.9518	21.2616	26.1521	14.8979	26.3196	26.1928	19.9065
NUP210	0.0000	0.0106	0.0081	0.0000	0.0000	0.0000	0.0000	0.0046	0.0031
NUP210L	0.0000	0.0065	0.0272	0.0048	0.0000	0.0032	0.0037	0.0000	0.0084
NUP210P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NUP214	5.0166	4.4673	5.5708	5.3761	6.2217	3.9228	5.2593	5.1129	4.3477
NUP35	19.6730	15.8557	18.8604	18.6842	18.4486	12.2003	19.1351	16.1144	15.6679
NUP37	45.4679	35.7835	43.7217	37.8278	41.0002	33.6597	48.5741	41.4911	38.9272
NUP43	16.1021	7.6447	10.7537	10.8635	10.8304	8.1465	14.4240	13.0614	10.3054
NUP50	28.4298	20.0710	27.6799	22.4949	24.8035	13.7287	23.3894	23.2611	19.0540
NUP50-AS1	6.9718	5.5142	5.3713	5.1615	5.0050	4.6607	4.0113	3.9923	5.0195
NUP54	25.5838	20.3853	28.7720	22.9579	25.1443	19.1180	27.6975	26.4095	25.0334
NUP58	25.0418	17.8907	25.1432	20.8725	22.9689	13.9928	21.9669	21.2652	20.0012
NUP62	42.2706	41.1170	40.6674	41.2718	43.4419	31.7283	42.5626	35.8056	36.1412
NUP62CL	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NUP85	16.9453	14.6403	15.0197	16.6813	17.1182	13.7578	23.0603	18.7349	16.8060
NUP88	37.1298	31.7152	37.6069	32.2489	34.6929	23.2631	34.5183	34.0615	29.5737
NUP93	29.5290	27.3717	28.3658	28.2448	31.9184	22.8778	39.4324	33.6444	27.7834
NUP98	20.5765	16.9476	22.1609	20.8594	22.8440	13.0731	23.7024	21.9012	17.3122
NUPL2	14.6828	7.9257	9.1129	9.3768	9.3408	6.7177	9.9885	9.0226	9.6460
NUPR1	37.6157	32.3838	30.5085	61.6758	51.0236	72.2886	33.6763	47.4856	57.8462
NUPR2	0.0000	0.0000	0.0000	0.0679	0.0000	0.0000	0.0000	0.0000	0.0000
NUS1	37.3595	25.7524	35.7544	41.6464	39.0974	30.0078	39.1796	40.3298	39.5950
NUSAP1	13.2715	9.6177	13.3647	7.3878	9.2836	5.0995	20.8100	14.5499	8.4470
NUTF2	253.9030	278.8590	266.8840	260.7810	272.3120	228.9390	280.2260	234.7570	260.2260
NUTM1	0.0000	0.0097	0.0000	0.0071	0.0000	0.0048	0.0000	0.0084	0.0057
NUTM2A	1.0839	1.0474	0.8122	0.8027	0.6098	0.7606	0.8916	0.6852	0.7887
NUTM2A-AS1	25.0001	24.0406	26.1106	22.8959	21.6964	21.2165	18.7131	23.2182	21.9806
NUTM2B	0.3354	0.2661	0.4182	0.1995	0.2533	0.3124	0.2588	0.3843	0.4132
NUTM2B-AS1	17.9421	14.3584	15.4948	14.6862	14.4606	12.6718	16.2931	18.0263	14.0459
NUTM2D	0.3060	0.3595	0.2741	0.2303	0.2472	0.1054	0.2371	0.3151	0.2616
NUTM2F	0.0000	0.0000	0.0000	0.0000	0.0000	0.0217	0.0000	0.0000	0.0000
NUTM2G	0.1424	0.1116	0.0814	0.0476	0.0637	0.0434	0.0951	0.0767	0.0676
NVL	13.9022	12.0490	13.8007	13.2858	13.6466	10.7675	13.0980	11.5006	12.8684
NWD1	0.0994	0.0531	0.1145	0.1170	0.0396	0.0596	0.0742	0.0439	0.0699
NWD2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NXF1	21.9922	16.9757	18.3685	19.2108	18.1406	14.0515	18.5878	18.0596	15.5333
NXF2	0.0321	0.0177	0.0065	0.0130	0.0169	0.0043	0.0144	0.0311	0.0258
NXF2B	0.0321	0.0177	0.0065	0.0130	0.0169	0.0043	0.0144	0.0311	0.0258
NXF3	1.1024	0.6547	0.8868	1.0104	0.9357	0.6993	0.8267	0.8033	0.7463
NXF4	0.2944	0.1522	0.1246	0.1914	0.1089	0.0481	0.0458	0.1681	0.1090
NXF5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NXN	6.5702	8.9345	7.0453	7.7879	7.5810	5.9689	5.2632	4.8497	6.2718
NXNL1	0.0000	0.0524	0.0801	0.1153	0.1402	0.0772	0.1102	0.1350	0.1235
NXNL2	0.7890	0.4348	0.8055	0.4129	0.5389	0.3623	0.6700	0.6167	0.5115
NXPE1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NXPE2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NXPE3	4.1145	2.8775	4.0434	4.1638	4.0716	3.0586	4.0630	3.7944	3.6552
NXPE4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NXPH1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NXPH2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NXPH3	0.0250	0.0416	0.0371	0.0153	0.0232	0.0205	0.0511	0.0775	0.0409
NXPH4	25.9379	36.7713	26.0874	35.8160	39.8575	31.4629	35.0688	35.3763	32.6179
NXT1	59.7350	65.6248	63.1743	65.0828	62.2847	68.4923	69.5705	69.3910	68.9774
NXT2	31.5197	25.9788	37.4594	28.8697	29.0016	18.5426	32.6412	26.9029	25.9122
NYAP1	0.4358	0.4280	0.1845	0.2093	0.0953	0.2158	0.1617	0.3016	0.2717
NYAP2	0.0458	0.0170	0.0326	0.0436	0.0170	0.0168	0.0404	0.0291	0.0251
NYNRIN	0.0000	0.0000	0.0037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NYX	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OACYLP	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OAF	73.1245	101.5980	93.1144	78.0458	82.8390	62.5095	81.7185	71.1622	70.1098
OARD1	39.6725	26.8943	35.9273	26.1821	26.7278	23.0876	26.7704	29.1174	28.0485
OAS1	1.9309	2.2635	2.1088	1.7286	1.9864	1.6453	2.6741	1.9850	1.5398
OAS2	0.2488	0.1289	0.1523	0.1011	0.0723	0.0753	0.1169	0.1783	0.0580
OAS3	2.2803	1.9609	2.6502	2.4498	2.6586	1.8172	2.6668	2.6356	2.0310
OASL	0.6754	0.4540	0.3501	0.3762	0.7108	0.5404	1.2159	0.8592	0.8000
OAT	59.1510	44.8126	54.4886	63.2613	59.2615	46.4776	69.0746	55.7419	54.6044
OAZ1	907.3709	945.9068	945.1655	974.6609	956.8351	1033.5054	1266.7051	1082.1745	1036.0149
OAZ2	54.6754	43.3946	47.2717	47.3904	47.2073	40.0810	56.6230	46.9200	44.8028
OAZ3	0.9931	0.6190	0.4731	0.6204	0.7562	0.7770	0.2272	0.4032	0.4460
OBFC1	4.8661	3.4587	4.5639	3.0271	3.1063	2.8655	3.3525	3.2701	3.1160
OBP2A	0.4777	0.2647	0.1159	0.3436	0.4554	0.8903	1.1495	0.9868	0.7564
OBP2B	0.0000	0.0000	0.0000	0.0000	0.0000	0.1053	0.1819	0.2622	0.0600
OBSCN	2.0000	1.2231	1.5728	1.8110	1.6700	1.3527	1.2086	1.6740	1.5971
OBSL1	96.3846	142.9413	125.4170	132.8937	126.0388	126.8876	131.8860	164.4636	135.3853
OC90	0.0423	0.0469	0.0179	0.0000	0.0157	0.0115	0.0740	0.0202	0.0000
OCA2	0.9113	0.7767	0.8014	0.5793	0.4148	0.4645	0.3064	0.4336	0.4426
OCEL1	19.9534	22.5871	21.0013	16.9181	17.4415	22.5960	22.9881	24.0774	19.4104
OCIAD1	57.5194	42.8287	49.4375	49.6832	46.0626	34.9155	47.9851	46.7238	46.1504
OCIAD2	601.6515	531.7354	518.9077	733.4620	713.7691	720.3433	563.6676	580.0021	717.5480
OCLM	0.0000	0.0542	0.0414	0.0398	0.0724	0.0533	0.0285	0.0000	0.0000
OCLN	0.6461	0.3530	0.3978	0.3793	0.2811	0.1987	0.3446	0.3076	0.3742
OCM	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OCM2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OCRL	13.9857	11.2930	15.2597	13.8522	15.2838	9.3451	12.7129	13.4869	12.2626
OCSTAMP	0.4192	0.1900	0.3389	0.1084	0.1269	0.1453	0.0555	0.0725	0.1867
ODAM	0.0000	0.0000	0.0000	0.0250	0.0000	0.0000	0.0000	0.0000	0.0000
ODC1	906.8862	799.0096	893.9329	1215.3754	1240.2247	1201.3799	1225.6758	1230.3269	1388.5951
ODF1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ODF2	21.4858	15.3004	16.9678	21.0514	21.4632	14.2150	19.5680	20.6746	17.4682
ODF2L	4.8596	2.1893	3.3987	3.1902	3.0322	2.3755	3.2614	3.3070	3.2688
ODF3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ODF3B	0.1739	0.1445	0.0736	0.1413	0.0000	0.0710	0.1014	0.2069	0.0568
ODF3L1	0.0000	0.0000	0.0000	0.0274	0.0000	0.0000	0.0000	0.0000	0.0000
ODF3L2	0.0477	0.0264	0.2424	0.1357	0.1235	0.2469	0.3198	0.2951	0.3584
ODF4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OFD1	8.7584	6.5525	8.2068	7.7265	7.6497	7.9860	8.2120	8.3534	8.6896
OGDH	25.0386	29.2372	31.2629	23.5662	26.3492	18.8784	25.8897	22.9361	22.7877
OGDHL	2.2928	2.3774	2.2179	1.4276	1.7350	1.2889	2.2559	2.1419	1.7450
OGFOD1	32.6886	24.8840	31.6125	29.2652	29.1236	23.0375	34.0303	33.3181	29.1472
OGFOD2	18.8676	23.5649	22.4859	23.4665	22.7480	29.2516	20.9927	21.6913	26.2334
OGFOD3	24.8444	23.5692	23.1890	25.2090	23.5263	29.7688	28.4792	31.6665	26.8210
OGFR	123.9330	190.1220	164.4410	271.4950	239.8450	304.8310	240.6870	328.7640	323.7570
OGFR-AS1	1.0006	1.3463	0.9079	0.5809	1.6389	1.2457	0.9164	0.8162	0.7003
OGFRL1	92.5301	74.2348	98.9205	42.3775	44.5056	29.1324	37.2479	36.3694	36.5443
OGFRP1	0.7070	1.0327	0.9798	0.6791	0.8558	0.5951	0.7118	1.1927	0.4828
OGG1	20.9218	21.3541	24.3580	18.1974	20.6234	20.1053	24.4658	23.8148	20.7817
OGN	0.0000	0.0000	0.0000	0.0000	0.0076	0.0056	0.0000	0.0000	0.0067
OGT	21.5146	8.4114	11.6836	12.5778	12.2103	8.0011	11.9686	11.3058	10.1611
OIP5	7.9514	6.3285	8.7765	4.7289	5.5760	5.2398	12.5921	9.2620	6.9866
OIP5-AS1	13.4872	7.6952	12.6041	8.4569	9.4916	7.1371	10.9417	10.6404	8.4669
OIT3	0.0377	0.0000	0.0000	0.0000	0.0000	0.0103	0.0000	0.0000	0.0000
OLA1	77.0200	66.0018	78.2132	70.0181	72.7045	49.4229	59.0447	59.9952	62.2293
OLAH	30.0924	25.9544	28.5444	23.6383	20.6457	30.5752	10.4171	19.4614	29.3164
OLFM1	0.1037	0.1005	0.1478	0.1474	0.1342	0.1928	0.1077	0.2516	0.1667
OLFM2	0.0000	0.0207	0.0190	0.1460	0.0927	0.0245	0.1047	0.0214	0.0147
OLFM3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OLFM4	0.0000	0.0000	0.0104	0.0000	0.0091	0.0000	0.0000	0.0000	0.0000
OLFM5P	0.0696	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OLFML1	0.1009	0.0298	0.0427	0.0750	0.0368	0.0217	0.1101	0.0994	0.0926
OLFML2A	0.0362	0.0418	0.0547	0.0492	0.0307	0.0418	0.0491	0.0566	0.0560
OLFML2B	0.0188	0.0000	0.0079	0.0153	0.0000	0.0000	0.0000	0.0000	0.0061
OLFML3	0.3695	0.2729	0.4346	0.1335	0.1822	0.1006	0.5503	0.1367	0.2279
OLIG1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OLIG2	0.0000	0.0000	0.0000	0.0235	0.0000	0.0000	0.0169	0.0138	0.0000
OLIG3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OLMALINC	12.9170	11.8272	10.2468	8.5058	7.9393	7.7067	7.8910	7.9875	8.1205
OLR1	0.0000	0.0000	0.0261	0.0000	0.0000	0.0168	0.0180	0.0147	0.0000
OMA1	8.4618	6.0796	7.0680	9.4058	10.0466	5.7874	8.7719	7.3725	8.0893
OMD	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OMG	0.0791	0.0000	0.0167	0.0000	0.0146	0.0000	0.0000	0.0000	0.0000
OMP	0.2288	0.1268	0.0969	0.1860	0.0000	0.0623	0.2667	0.1089	0.1495
ONECUT1	0.0000	0.0581	0.0148	0.0279	0.0000	0.0000	0.0000	0.0665	0.0228
ONECUT2	1.0146	0.8351	1.2622	1.0146	1.0246	0.6902	0.8491	1.0197	0.9653
ONECUT3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OOEP	0.8415	0.6216	0.7126	1.0259	0.6225	1.2604	0.8583	0.6673	0.5039
OOSP1	0.0695	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OOSP2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OPA1	40.6558	26.7293	38.8154	35.7945	37.4617	22.2161	37.1733	35.8512	30.5653
OPA1-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0603	0.0000	0.1053	0.0000
OPA3	8.2727	4.0925	4.5134	4.2874	4.3628	3.7394	5.6780	5.3729	4.4087
OPALIN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OPCML	0.0625	0.0865	0.0529	0.0720	0.1157	0.0369	0.0729	0.0844	0.0510
OPHN1	2.9619	2.0094	2.4233	1.6694	1.6181	1.1370	1.8081	1.6377	1.6007
OPLAH	0.0000	0.0000	0.0000	0.0000	0.0065	0.0095	0.0000	0.0000	0.0000
OPN1LW	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OPN1MW	0.1118	0.0367	0.0494	0.0000	0.0592	0.0000	0.0000	0.0000	0.0546
OPN1MW2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OPN1SW	0.0751	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OPN3	6.1538	4.6404	5.8805	7.6040	7.6947	5.6343	6.8325	6.8646	6.9469
OPN4	0.0000	0.0684	0.0131	0.0000	0.0114	0.0168	0.0270	0.0000	0.0000
OPN5	0.0000	0.0113	0.0086	0.0000	0.0151	0.0166	0.0060	0.0000	0.0067
OPRD1	0.1277	0.4009	0.2523	0.1557	0.2991	0.2434	0.2481	0.4253	0.1807
OPRK1	0.0279	0.0670	0.0413	0.0328	0.0499	0.0551	0.0587	0.0398	0.0439
OPRL1	0.6520	0.6137	0.6561	0.5338	0.3887	0.3518	0.4576	0.3574	0.2998
